Journal,Title,Authors,Author_Information,Abstract,
"199. Bull World Health Organ. 2016 May 1;94(5):331-9. doi: 10.2471/BLT.15.152462.
 Epub 2016 May 2.","Association between intimate partner violence and poor child growth: results 
from 42 demographic and health surveys.","Chai J(1), Fink G(1), Kaaya S(2), Danaei G(1), Fawzi W(1), Ezzati M(3), Lienert 
J(1), Smith Fawzi MC(4).","Author information:
(1)Harvard School of Public Health, Department of Global Health and Population, 
1633 Tremont Street, Boston, MA 02120, United States of America (USA).
(2)Muhimbili University of Health and Allied Sciences, Dar es Salaam, United 
Republic of Tanzania .
(3)Imperial College London, London, England .
(4)Harvard Medical School, Boston, USA .","OBJECTIVE: To determine the impact of intimate partner violence against women on 
children's growth and nutritional status in low- and middle-income countries.
METHODS: We pooled records from 42 demographic and health surveys in 29 
countries. Data on maternal lifetime exposure to physical or sexual violence by 
an intimate partner, socioeconomic and demographic characteristics were 
collected. We used logistic regression models to determine the association 
between intimate partner violence and child stunting and wasting.
FINDINGS: Prior exposure to intimate partner violence was reported by 69 652 
(34.1%) of the 204 159 ever-married women included in our analysis. After 
adjusting for a range of characteristics, stunting in children was found to be 
positively associated with maternal lifetime exposure to only physical (adjusted 
odds ratio, aOR: 1.11; 95% confidence interval, CI: 1.09-1.14) or sexual 
intimate partner violence (aOR: 1.09; 95% CI: 1.05-1.13) and to both forms of 
such violence (aOR: 1.10; 95% CI: 1.05-1.14). The associations between stunting 
and intimate partner violence were stronger in urban areas than in rural ones, 
for mothers who had low levels of education than for women with higher levels of 
education, and in middle-income countries than in low-income countries. We also 
found a small negative association between wasting and intimate partner violence 
(aOR: 0.94; 95%CI: 0.90-0.98).
CONCLUSION: Intimate partner violence against women remains common in low- and 
middle-income countries and is highly detrimental to women and to the growth of 
the affected women's children. Policy and programme efforts are needed to reduce 
the prevalence and impact of such violence.",
200. BMC Pediatr. 2016 Apr 15;16:49. doi: 10.1186/s12887-016-0587-9.,"Exploring spatial variations and factors associated with childhood stunting in 
Ethiopia: spatial and multilevel analysis.","Haile D(1), Azage M(2), Mola T(3), Rainey R(4).","Author information:
(1)Department of Public Health, College of Medicine and Health Sciences, Bahir 
Dar University, P.O. Box 79, Bahir Dar, Ethiopia.
(2)Department of Public Health, College of Medicine and Health Sciences, Bahir 
Dar University, P.O. Box 79, Bahir Dar, Ethiopia. mulukenag@yahoo.com.
(3)Department of Geography and Environmental Studies, Bahir Dar University, P.O. 
Box 79, Bahir Dar, Ethiopia.
(4)United States Agency for International Development (USAID), Washington, DC, 
USA.","BACKGROUND: Stunting reflects a failure to receive adequate nutrition over a 
long period of time. Stunting is associated with adverse functional consequences 
including poor cognition, low educational performance, low adult wages, and poor 
reproductive outcomes. The objective of the study was to investigate spatial 
variations and factors associated with childhood stunting in Ethiopia.
METHODS: This study is a secondary data analysis of the 2011 Ethiopian 
Demographic and Health Survey (EDHS). A total of 9893 children aged 0-59 months 
were included in the analysis. The Getis-Ord spatial statistical tool was used 
to identify high and low hotspots areas of stunting. A multilevel multivariable 
logistic regression was used to identify factors associated with stunting.
RESULTS: Statistically significant hotspots of stunting were found in northern 
parts of the country whereas low hotspots where there was less stunting than 
expected were found in the central, eastern, and western parts of the country. 
In the final model of multilevel logistic regression analysis, individual and 
community level factors accounted for 36.6 % of childhood stunting. Short birth 
interval [AOR = 1.68; 95%CI: (1.46-1.93)], being male [AOR = 1.20; 95%CI: 
(1.08-1.33)], and being from a male-headed household [AOR = 1.18; 95 % CI: 
(1.01-1.38)] were the factors that increased the odds of stunting at the 
individual level. Children in the age group between 24-35 months were more 
likely to be stunted than children whose age was less than one year [AOR = 6.61; 
95 % CI: (5.17-8.44)]. The odds of stunting among children with severe anemia 
were higher than children with no anemia [AOR = 3.23; 95%CI: (2.35-4.43)]. 
Children with mothers who had completed higher education had lower odds of being 
stunted compared to children whose mothers had no formal education [AOR = 0.42; 
95%CI: (0.18-0.94)]. The odds of being stunted were lower among children whose 
fathers completed higher education [AOR = 0.58; 95%CI: (0.38-0.89)] compared to 
children whose fathers had no formal education. Children whose mothers who had 
high a Body Mass Index (BMI) (≥25.0 kg/m(2)) were less likely to be stunted 
compared with children whose mothers had a normal BMI 
(18.5 kg/m(2)-24.9 kg/m(2))[AOR = 0.69; 95%CI: (0.52-0.90)]. Children from the 
poorest wealth quintile had higher odds of being stunted compared to children 
from the richest wealth quintiles [AOR = 1.43; 95 % CI: (1.08-1.88)]. 
Unavailability of improved latrine facilities and living in the northern parts 
of the country (Tigray, Affar, Amhara and Benishangul-Gumuzregions) were factors 
associated with higher odds of stunting from the community-level factors.
CONCLUSION: Stunting in children under five years old is not random in Ethiopia, 
with hotspots of higher stunting in the northern part of Ethiopia. Both 
individual and community-level factors were significant determinants of 
childhood stunting. The regions with high hotspots of child stunting should be 
targeted with additional resources, and the identified factors should be 
considered for nutritional interventions.",
"201. Vaccine. 2016 Apr 29;34(20):2312-20. doi: 10.1016/j.vaccine.2016.03.066.
Epub  2016 Mar 29.","Stunting correlates with high salivary and serum antibody levels after 13-valent 
pneumococcal conjugate vaccination of Venezuelan Amerindian children.","Verhagen LM(1), Hermsen M(2), Rivera-Olivero I(3), Sisco MC(3), Pinelli E(4), 
Hermans PW(5), Berbers GA(4), de Waard JH(3), de Jonge MI(5).","Author information:
(1)Laboratorio de Tuberculosis, Instituto de Biomedicina, Universidad Central de 
Venezuela, Caracas, Venezuela; Laboratory of Pediatric Infectious Diseases, 
Department of Pediatrics, Radboud Institute for Molecular Life Sciences, Radboud 
University Medical Center, Nijmegen, The Netherlands; Wilhelmina Children's 
Hospital, Utrecht, The Netherlands. Electronic address: 
L.M.Verhagen-4@umcutrecht.nl.
(2)Department of Pathology, Radboud University Nijmegen Medical Center, 
Nijmegen, The Netherlands.
(3)Laboratorio de Tuberculosis, Instituto de Biomedicina, Universidad Central de 
Venezuela, Caracas, Venezuela.
(4)Center for Infectious Disease Control, National Institute of Public Health 
and the Environment, The Netherlands.
(5)Laboratory of Pediatric Infectious Diseases, Department of Pediatrics, 
Radboud Institute for Molecular Life Sciences, Radboud University Medical 
Center, Nijmegen, The Netherlands.","OBJECTIVE: To determine the impact of pre-vaccination nutritional status on 
vaccine responses in Venezuelan Warao Amerindian children vaccinated with the 
13-valent pneumococcal conjugate vaccine (PCV13) and to investigate whether 
saliva can be used as read-out for these vaccine responses.
METHODS: A cross-sectional cohort of 504 Venezuelan Warao children aged 6 weeks 
- 59 months residing in nine geographically isolated Warao communities were 
vaccinated with a primary series of PCV13 according to Centers for Disease 
Control and Prevention (CDC)-recommended age-related schedules. Post-vaccination 
antibody concentrations in serum and saliva of 411 children were measured by 
multiplex immunoassay. The influence of malnutrition present upon vaccination on 
post-vaccination antibody levels was assessed by univariate and multivariable 
generalized estimating equations linear regression analysis.
RESULTS: In both stunted (38%) and non-stunted (62%) children, salivary antibody 
concentrations correlated well with serum levels for all serotypes with 
coefficients varying from 0.61 for serotype 3-0.80 for serotypes 5, 6A and 23F 
(all p < 0.01). Surprisingly, higher serum and salivary antibody levels were 
observed with increasing levels of stunting in children for all serotypes. This 
was statistically significant for 5/13 and 11/13 serotype-specific serum and 
saliva IgG concentrations respectively.
CONCLUSION: Stunted Amerindian children showed generally higher antibody 
concentrations than well-nourished children following PCV13 vaccination, 
indicating that chronic malnutrition influences vaccine response. Saliva samples 
might be useful to monitor serotype-specific antibody levels induced by PCV 
vaccination. This would greatly facilitate studies of vaccine efficacy in rural 
settings, since participant resistance generally hampers blood drawing.",
202. Coll Antropol. 2015 Dec;39(4):847-54.,"The Disruption of Subsistence Agricultural Systems in Rural Yucatan, Mexico may 
have Contributed to the Coexistence of Stunting in Children with Adult 
Overweight and Obesity.",Gurri FD.,"This paper attempts to link last century's disruption of local agricultural 
systems to today's presence of childhood under nutrition and adult overweight 
and obesity in the Yucatan Peninsula. It first compares Height for Age (H/A), 
Weight for Age (W/A) and Body Mass Index (BMI) of children from three rural 
populations in Yucatan and Campeche, Mexico whose subsistence strategy had been 
altered to different degrees since 1970. It then compares BMI in adults, in the 
same regions, born before and after the alteration of their environment in the 
1970's. Children in the least disrupted zone were taller and had lower BMI than 
children in the other two, but were not heavier than children from the richest 
disrupted zone. Children in the poorest disrupted zone were shorter and lighter 
than the rest. BMI in adult men was higher in the two most disrupted zones only 
in those cohorts that grew up after the traditional agricultural regime was 
altered. It is concluded that disruptions of staple-based subsistence 
agriculture promoted a stockier phenotype in children and a tendency to 
accumulate body fat. Persistence of these conditions in the twenty first century 
has favored the coexistence of stunting during childhood with adults who easily 
become overweight.",PMID: 26987151 [Indexed for MEDLINE],
"203. Cell Mol Gastroenterol Hepatol. 2015 Dec 11;2(2):158-174.e1. doi: 
10.1016/j.jcmgh.2015.12.002. eCollection 2016 Feb.","Environmental Enteric Dysfunction Includes a Broad Spectrum of Inflammatory 
Responses and Epithelial Repair Processes.","Yu J(1), Ordiz MI(2), Stauber J(2), Shaikh N(2), Trehan I(2), Barnell E(2), Head 
RD(1), Maleta K(3), Tarr PI(2), Manary MJ(4).","Author information:
(1)Genome Technology Access Center, Department of Genetics, Washington 
University School of Medicine, St. Louis, Missouri.
(2)Department of Pediatrics, Washington University School of Medicine, St. 
Louis, Missouri.
(3)Department of Community Health, College of Medicine, Blantyre, Malawi.
(4)Department of Pediatrics, Washington University School of Medicine, St. 
Louis, Missouri; Department of Community Health, College of Medicine, Blantyre, 
Malawi; Children's Nutrition Research Center, Baylor College of Medicine, 
Houston, Texas.","BACKGROUND & AIMS: Environmental enteric dysfunction (EED), a chronic diffuse 
inflammation of the small intestine, is associated with stunting in children in 
the developing world. The pathobiology of EED is poorly understood because of 
the lack of a method to elucidate the host response. This study tested a novel 
microarray method to overcome limitation of RNA sequencing to interrogate the 
host transcriptome in feces in Malawian children with EED.
METHODS: In 259 children, EED was measured by lactulose permeability (%L). After 
isolating low copy numbers of host messenger RNA, the transcriptome was reliably 
and reproducibly profiled, validated by polymerase chain reaction. Messenger RNA 
copy number then was correlated with %L and differential expression in EED. The 
transcripts identified were mapped to biological pathways and processes. The 
children studied had a range of %L values, consistent with a spectrum of EED 
from none to severe.
RESULTS: We identified 12 transcripts associated with the severity of EED, 
including chemokines that stimulate T-cell proliferation, Fc fragments of 
multiple immunoglobulin families, interferon-induced proteins, activators of 
neutrophils and B cells, and mediators that dampen cellular responses to 
hormones. EED-associated transcripts mapped to pathways related to cell 
adhesion, and responses to a broad spectrum of viral, bacterial, and parasitic 
microbes. Several mucins, regulatory factors, and protein kinases associated 
with the maintenance of the mucous layer were expressed less in children with 
EED than in normal children.
CONCLUSIONS: EED represents the activation of diverse elements of the immune 
system and is associated with widespread intestinal barrier disruption. 
Differentially expressed transcripts, appropriately enumerated, should be 
explored as potential biomarkers.",
"204. Cien Saude Colet. 2016 Mar;21(3):935-46. doi:
10.1590/1413-81232015213.20722014.","[Factors associated with linear growth of socially vulnerable children of the 
State of Paraíba, Brazil].",[Article in Portuguese],"Pedraza DF(1), Sales MC(2), de Menezes TN(1).","This study set out to examine the associated factors, including zinc deficiency, 
of stunting in children attended in daycare centers in the State of Paraíba. It 
is a cross-sectional study, involving 353 children aged 6-72 months old. Data on 
biological characteristics, health situation and socioeconomic conditions of 
children were obtained by a questionnaire. Children with height for age indices 
two z scores below the median value of the reference population were considered 
to be stunted. The level of zinc in hair was determined by atomic absorption 
spectrophotometry. The prevalence of stunting was 7.36%. Low birth weight, age 
range 6-36 months, incomplete immunization, low maternal weight, per capita 
income of less than 0.5 minimum wages and living in a given/donated or invaded 
house were significantly associated with height for age index deficit. Stunted 
children were more prone to zinc deficiency, however, without statistical 
difference with normal growth children. Thus, there is a clear differential in 
linear growth that favors the children of higher socioeconomic status and 
favorable maternal history and health.",
"205. Ann Hum Biol. 2016;43(2):122-30. doi: 10.3109/03014460.2015.1136356. Epub
2016  Feb 10.","The stunted child with an overweight mother as a growing public health concern 
in resource-poor environments: a case study from Guatemala.","Doak CM(1), Campos Ponce M(1), Vossenaar M(2), Solomons NW(2).","Author information:
(1)a Health Sciences, VU University , Amsterdam , The Netherlands and.
(2)b Center for Studies of Sensory Impairment, Aging and Metabolism (CeSSIAM) , 
Guatemala City , Guatemala.","BACKGROUND: Overweight and obesity are emerging at alarming rates in low income 
women in many countries. Guatemala has the additional burden of a high 
prevalence of chronic under-nutrition (stunting) in children.
AIM: The purpose of this paper is to explore the dual burden of infant and child 
(5-23 months) under-nutrition and maternal over-weight and obesity in the 
Western Highlands of Guatemala.
SUBJECTS AND METHODS: Anthropometric measures were collected in 446 
mother-infant dyads in a metropolitan population of mixed indigenous (Maya) and 
non-indigenous descent in the Western Highlands of Guatemala. Children were 
identified as stunted based on a height for age <-2 below the WHO reference 
median and maternal overweight/obesity defined as a BMI ≥25. Stunted children 
with an overweight/obese mother were compared to other children who were not 
stunted and/or who did not have an overweight/obese mother.
RESULTS: The prevalences of stunting (38%) and maternal overweight/obesity (45%) 
were high, but just 17% of the mother and child pairs were dual burden. The 
socio-demographic characteristics of stunted children were not influenced by 
maternal overweight or obesity.
CONCLUSION: Policies are needed to address under-nutrition as well as preventing 
obesity and obesity-related chronic disease risks of stunted children and their 
mothers.",
206. Indian Pediatr. 2016 Jan;53(1):47-9. doi: 10.1007/s13312-016-0790-7.,"Rapid Survey of Wasting and Stunting in Children: Whats New, Whats Old and Whats 
the Buzz?","Dasgupta R(1), Sinha D, Yumnam V.","Author information:
(1)Centre of Social Medicine and Community Health, Jawaharlal Nehru University, 
New Delhi; *Department of Economics, Ambedkar University; and #Department of 
Social Work, Tezpur University, Tezpur; India. Correspondence to: Dr Rajib 
Dasgupta, Centre of Social Medicine and Community Health, Jawaharlal Nehru 
University, New Delhi 110 067, India. dasgupta.jnu@gmail.com.","Nationwide Rapid Survey on Children (RSoC), conducted by the Ministry of Women 
and Child Development and UNICEF in 2013-14 showed a marked improvement in the 
status of the child malnutrition over the third National Family Health Survey 
(NFHS-3) that was conducted in 2005-06. Despite some impressive gains in the 
anthropometric indicators of malnutrition, the absolute levels remain high, and 
of concern. Despite these gains, the feeding indicators remain stagnant. The 
programmatic responses need to adopt a multi-sectoral comprehensive approach 
with regular and comprehensive nutrition surveillance and recognize the 
epidemiological diversity.",
207. Nutrients. 2016 Jan 27;8(2):67. doi: 10.3390/nu8020067.,"Iron-Folic Acid Supplementation During Pregnancy Reduces the Risk of Stunting in 
Children Less Than 2 Years of Age: A Retrospective Cohort Study from Nepal.","Nisar YB(1), Dibley MJ(2), Aguayo VM(3).","Author information:
(1)United Nations Office for Project Services (UNOPS), Diplomatic Enclave, 
Islamabad 44000, Pakistan. drbin01@hotmail.com.
(2)Sydney School of Public Health, The University of Sydney, Sydney 2006, 
Australia. michael.dibley@sydney.edu.au.
(3)United Nations Children's Fund (UNICEF), Regional Office for South Asia, 
Kathmandu 5815, Nepal. vaguayo@unicef.org.","The aim of the study was to investigate the effect of antenatal iron-folic acid 
(IFA) supplementation on child stunting in Nepalese children age <2 years. A 
retrospective cohort study design was used, in which a pooled cohort of 5235 
most recent live births 2 years prior to interview from three Nepal Demographic 
and Health Surveys (2001, 2006 and 2011) was analysed. The primary outcome was 
stunting in children age <2 years. The main exposure variable was antenatal IFA 
supplementation. Multivariate Poisson regression analysis was performed. In our 
sample, 31% and 10% of Nepalese children age <2 years were stunted and severely 
stunted, respectively. The adjusted relative risk of being stunted was 14% lower 
in children whose mothers used IFA supplements compared to those whose mothers 
did not use (aRR = 0.86, 95% CI = 0.77-0.97). Additionally, the adjusted 
relative risk of being stunted was significantly reduced by 23% when antenatal 
IFA supplementation was started ≤6 months with ≥90 IFA supplements used during 
pregnancy (aRR = 0.77, 95% CI = 0.64-0.92). Antenatal IFA supplementation 
significantly reduced the risk of stunting in Nepalese children age <2 years. 
The greatest impact on the risk reduction of child stunting was when IFA 
supplements were started ≤6 months with ≥90 supplements were used.",
208. BMJ Open. 2016 Jan 12;6(1):e009331. doi: 10.1136/bmjopen-2015-009331.,"Global dietary quality, undernutrition and non-communicable disease: a 
longitudinal modelling study.","Green R(1), Sutherland J(1), Dangour AD(1), Shankar B(2), Webb P(3).","Author information:
(1)Department of Population Health, London School of Hygiene & Tropical 
Medicine, London, UK Leverhulme Centre for Integrative Research on Agriculture 
and Health (LCIRAH), London, UK.
(2)Leverhulme Centre for Integrative Research on Agriculture and Health 
(LCIRAH), London, UK Centre for Development, Environment and Policy, School of 
Oriental and African Studies, London, UK.
(3)Friedman School of Nutrition Science and Policy, Tufts University, Boston, 
Massachusetts, USA.","OBJECTIVES: To determine the relationship between global dietary energy 
availability and dietary quality, and nutrition-related health outcomes.
DESIGN: A worldwide longitudinal modelling study using country-level data. Data 
on total dietary energy availability and dietary energy from 10 distinct food 
groups (as a proxy for dietary quality) were obtained from the FAO Food Balance 
Sheets database. Indicators of development were abstracted from the World Bank's 
World Development Indicators database. Data on nutrition and health outcomes 
were taken from the WHO mortality database and major cross-country analyses. We 
investigated associations of energy availability from food groups and health and 
nutrition outcomes in the combined data set using mixed effects models, while 
adjusting for measures of development.
POPULATION: 124 countries over the period 1980-2009.
MAIN OUTCOME MEASURES: Prevalence of stunting in children under 5 years and 
mortality rate from ischaemic heart disease (IHD) in adults aged 55+ years.
RESULTS: From 1980 to 2009, global dietary energy availability increased, and 
rates of child stunting and adult IHD mortality declined. After adjustment for 
measures of development, increased total dietary energy availability was 
significantly associated with reduced stunting rates (-0.84% per 100 kcal 
increase in energy, 95% CI -0.97 to -0.72) and non-significantly associated with 
increased IHD mortality rates (by 4.2 deaths per 100,000/100 kcal increase, 95% 
CI -1.85 to 10.2). Further analysis demonstrated that the changing availability 
of energy from food groups (particularly fruit, vegetables, starchy roots, meat, 
dairy and sugar) was important in explaining the associations with health 
outcomes.
CONCLUSIONS: Our study has demonstrated that by combining large, publicly 
available data sets, important patterns underlying trends in diet-related health 
can be uncovered. These associations remain even after accounting for measures 
of development over a 30-year period. Further work and joined-up multisectoral 
thinking will be required to translate these patterns into policies that can 
improve nutrition and health outcomes globally.",
"209. J Nutr. 2015 Nov;145(11):2596-603. doi: 10.3945/jn.115.213157. Epub 2015 Sep
30.","Preventive Effects of Long-Term Supplementation with 2 Nutritious Food 
Supplements in Young Children in Niger.","Sayyad-Neerkorn J(1), Langendorf C(2), Roederer T(2), Doyon S(3), Mamaty AA(4), 
Woi-Messe L(4), Manzo ML(5), Harouna S(6), de Pee S(7), Grais RF(2).","Author information:
(1)Epicentre, Paris, France; jessica.sayyad@epicentre.msf.org.
(2)Epicentre, Paris, France;
(3)Doctors without Borders (MSF), Paris, France;
(4)Epicentre, Niamey, Niger;
(5)Regional Department of the Ministry of Public Health, Maradi, Niger;
(6)Niger Health Forum (FORSANI), Niamey, Niger;
(7)Nutrition Division, World Food Programme, Rome, Italy; and Friedman School of 
Nutrition Science and Policy, Tufts University, Boston, MA.","BACKGROUND: In nutritional crises, large-scale preventive distributions of 
specialized nutritious foods are recommended to prevent acute and chronic 
malnutrition in young children. Among the available specialized nutritious 
foods, the World Food Programme and UNICEF recommend lipid-based nutrient 
supplements (LNSs) and Super Cereal Plus (SC+). Although the effectiveness of 
short-term distributions for prevention of severe acute malnutrition (SAM) is 
well documented, evidence for long-term strategies and the role of distribution 
of specialized nutritious foods for prevention of stunting is weaker.
OBJECTIVE: The objective of this study was to compare long-term supplementation 
of LNSs and SC+ on the incidence of acute malnutrition and stunting in young 
children.
METHODS: We conducted two 15-mo-long supplementation interventions with the use 
of LNSs (500 kcal/d) and SC+ (810 kcal/d) and half rations during 5 mo of the 
nonlean season, for the prevention of acute malnutrition and stunting in 
children aged 6-23 mo. The study was designed as a prospective cohort in 11 
villages in Madarounfa, Niger. We compared the incidence of acute malnutrition 
and stunting with the use of Cox proportional hazards models and report on 
sharing and use of these food supplements.
RESULTS: Characteristics of children at baseline were similar across groups. A 
total of 1967 children were included in the analysis (845 in the SC+ group and 
1122 in the LNS group). No significant differences in the incidence of moderate 
acute malnutrition (SC+ compared with LNS: adjusted HR: 0.79; 95% CI: 0.61, 
1.02) or SAM (HR: 0.84; 95% CI: 0.52, 1.34) were found. No difference in the 
incidence of stunting (HR: 1.08; 95% CI: 0.95, 1.24) or severe stunting (HR: 
0.94; 95% CI: 0.71, 1.22) over the follow-up period were found.
CONCLUSIONS: These findings in young children in Niger suggest that both 
products should be considered when planning preventive distributions and choice 
of long-term supplementation should be guided by context-specific factors such 
as acceptability, cost, and operational feasibility, among others. Additional 
research is essential to improving child health. The study was registered at 
clinicaltrials.gov as NCT01828814.",
"210. Cardiol Young. 2016 Apr;26(4):787-9. doi: 10.1017/S1047951115001778. Epub
2015  Sep 11.","A cross-sectional audit of the prevalence of stunting in children attending a 
regional paediatric cardiology service.","Marino LV(1), Magee A(2).","Author information:
(1)1Department of Nutrition and Dietetics,University Hospital Southampton NHS 
Foundation Trust,Southampton,United Kingdom.
(2)2Department of Paediatric Cardiology,University Hospital Southampton NHS 
Foundation Trust,Southampton,United Kingdom.","CHD is associated with poor growth, delayed motor and language skills 
development, and increased length of hospital stay; 28.2% of infants were 
stunted, with z-scores<-2. The severity of surgery score was not associated with 
an increased length of stay, suggesting that a low weight-for-age z-score at the 
time of surgery may impact on length of stay.",
211. Pediatr Rev. 2015 Aug;36(8):341-52; quiz 353-4. doi: 10.1542/pir.36-8-341.,Worm Infections in Children.,"Weatherhead JE(1), Hotez PJ(1).","Author information:
(1)Department of Pediatrics (Sections of Infectious Diseases and Tropical 
Medicine), National School of Tropical Medicine, Baylor College of Medicine, 
Houston, TX. Sabin Vaccine Institute and Texas Children's Hospital Center for 
Vaccine Development, Houston, TX.","• On the basis of research evidence, worm infections are important global child 
health conditions causing chronic disability that lasts from childhood into 
adulthood (Table 1). (2)(3) Evidence Quality: B • On the basis of research 
evidence, the major worm infections found in developing countries include 
ascariasis, trichuriasis, hookworm infection, and schistosomiasis; toxocariasis, 
enterobiasis, and cysticercosis are also found in poor regions of North America 
and Europe. (4)(9)(13) Evidence Quality: B • On the basis of expert consensus, 
children and adolescents are often vulnerable to acquiring large numbers of 
worms, ie, high-intensity infections (Fig 1)(21)(22)(23) Evidence Quality: D • 
On the basis of expert consensus and research evidence, moderate and heavy worm 
burdens cause increased morbidity because of growth and intellectual stunting in 
children and adolescents. Many of these effects may result from helminth-induced 
malnutrition. (21)(22)(23) Evidence Quality: C • On the basis of expert 
consensus and research evidence, worm infections are also commonly associated 
with eosinophilia. (48) (49) Evidence Quality: B • On the basis of research 
evidence as well as consensus, helminthes can cause inflammation in the lung 
(asthma), gastrointestinal tract (enteritis and colitis), liver (hepatitis and 
fibrosis), and urogenital tract. (7)(21)(22)(23)(27)(28)(40)(41)(43) Evidence 
Quality: B • On the basis of research evidence, microscopy techniques for 
diagnosis of worm infections in children often exhibit suboptimal sensitivities 
and specificities, necessitating new or improved diagnostic modalities such as 
polymerase chain reaction. (54)(55) Evidence Quality: A • On the basis of 
research evidence and expert consensus, mass drug administration (“preventive 
chemotherapy”) has becomea standard practice for ministries of health in low- 
and middle-income countries to control intestinal helminth infections and 
schistosomiasis. (67)(68) Evidence Quality: B.",
212. Food Nutr Bull. 2015 Jun;36(2 Suppl):S129-38. doi: 10.1177/0379572115585781.,Zinc Deficiency in Latin America and the Caribbean.,"Cediel G, Olivares M, Brito A, Cori H, López de Romaña D.",,"BACKGROUND: Zinc deficiency affects multiple vital functions in the life cycle, 
especially growth. Limited information is available on the magnitude of zinc 
deficiency in Latin America and the Caribbean.
OBJECTIVE: To examine the latest available information on both the prevalence of 
zinc deficiency and the risk of zinc deficiency in Latin America and the 
Caribbean.
METHODS: The prevalence of zinc deficiency was identified through a systematic 
review looking for the latest available data on serum zinc concentrations from 
surveys or studies with national representativeness conducted in Latin America 
and the Caribbean. The risk of zinc deficiency in Latin America and the 
Caribbean was estimated based on dietary zinc inadequacy (according to the 2011 
National Food Balance Sheets) and stunting in children under 5 years of age.
RESULTS: Only four countries had available national biochemical data. Mexican, 
Colombian, Ecuadorian, and Guatemalan children under 6 years of age and women 12 
to 49 years of age had a high prevalence of zinc deficiency (19.1% to 56.3%). 
The countries with the highest risk of zinc deficiency (estimated prevalence of 
inadequate zinc intake > 25% plus prevalence of stunting > 20%) were Belize, 
Bolivia, El Salvador, Guatemala, Haiti, Honduras, Nicaragua, and Saint Vincent 
and the Grenadines. Zinc dietary inadequacy was directly correlated with 
stunting (r = 0.64, p < .001).
CONCLUSIONS: Prevalence data from the four available Latin America and Caribbean 
national surveys indicate a high prevalence of zinc deficiency in children under 
6 years of age and women 12 to 49 years of age. High rates of both estimated 
zinc dietary inadequacy and stunting were also reported in most Latin America 
and Caribbean countries.",
"213. Am J Trop Med Hyg. 2015 Aug;93(2):269-75. doi: 10.4269/ajtmh.14-0694. Epub
2015  Jun 8.","Fecal Markers of Environmental Enteropathy are Associated with Animal Exposure 
and Caregiver Hygiene in Bangladesh.","George CM(1), Oldja L(2), Biswas SK(2), Perin J(2), Lee GO(2), Ahmed S(2), Haque 
R(2), Sack RB(2), Parvin T(2), Azmi IJ(2), Bhuyian SI(2), Talukder KA(2), 
Faruque AG(2).","Author information:
(1)Johns Hopkins University, Baltimore, Maryland; International Center for 
Diarrhoeal Disease Research, Bangladesh (icddr,b), Dhaka, Bangladesh 
cmgeorge@jhsph.edu.
(2)Johns Hopkins University, Baltimore, Maryland; International Center for 
Diarrhoeal Disease Research, Bangladesh (icddr,b), Dhaka, Bangladesh.","Undernutrition is estimated to be an underlying cause of over half of all deaths 
in young children globally. There is a growing body of literature suggesting 
that increased exposure to enteric pathogens is responsible for environmental 
enteropathy (EE), a disorder associated with impaired growth in children. To 
determine if household unsanitary environmental conditions were significantly 
associated with EE and stunting in children, we conducted a cohort of 216 
children (≤ 30 months) in rural Bangladesh. Stool was analyzed for four fecal 
markers of EE: alpha-1-antitrypsin, myeloperoxidase, and neopterin combined to 
form an EE disease activity score, and calprotectin. We observed a significant 
association between having an animal corral in a child's sleeping room and 
elevated EE scores (1.0 point difference, 95% confidence interval [CI]: 0.13, 
1.88) and a two times higher odds of stunting (height-for-age z-score < -2) 
(odds ratio [OR]: 2.53, 95% CI: 1.08, 5.43) after adjusting for potential 
confounders. In addition, children of caregivers with visibly soiled hands had 
significantly elevated fecal calprotectin (μg/g) (384.1, 95% CI: 152.37, 
615.83). These findings suggest that close contact with animals and caregiver 
hygiene may be important risk factors for EE in young children. These findings 
are consistent with the hypothesis that unsanitary environmental conditions can 
lead to EE in susceptible pediatric populations.",
